Date,Close
2022-11-01,320.10
2022-11-02,322.50
2022-11-03,321.80
2022-11-04,324.40
2022-11-07,326.90
2022-11-08,328.30
2022-11-09,330.70
2022-11-10,329.20
2022-11-11,331.60
2022-11-14,333.00
2022-11-15,334.40
2022-11-16,336.10
2022-11-17,335.00
2022-11-18,337.50
2022-11-21,339.80
2022-11-22,341.20
2022-11-23,340.00
2022-11-25,342.60
2022-11-28,344.10
2022-11-29,345.50
2022-11-30,347.00
2022-12-01,346.30
2022-12-02,348.90
2022-12-05,350.40
2022-12-06,349.00
2022-12-07,351.60
2022-12-08,353.10
2022-12-09,354.70
2022-12-12,356.20
2022-12-13,355.00
2022-12-14,357.50
2022-12-15,359.00
2022-12-16,360.40
2022-12-19,362.00
2022-12-20,361.10
2022-12-21,363.60
2022-12-22,365.00
2022-12-23,366.40
2022-12-27,368.00
2022-12-28,367.20
2022-12-29,369.80
2023-01-03,382.50
2023-01-04,384.20
2023-01-05,386.80
2023-01-06,385.40
2023-01-09,388.90
2023-01-10,391.20
2023-01-11,389.60
2023-01-12,393.40
2023-01-13,395.80
2023-01-17,394.20
2023-01-18,397.60
2023-01-19,399.90
2023-01-20,398.30
2023-01-23,401.70
2023-01-24,404.20
2023-01-25,406.50
2023-01-26,408.10
2023-01-27,407.00
2023-01-30,409.60
2023-01-31,411.20
2023-02-01,412.80
